word,jawi,meaning
Alkisah,القصه,"""Maka ceritanya; bermula (digunakan untuk memulakan cerita)."""
Adiratna,اديرتنا,"""Permata yang mulia; kiasan bagi wanita yang sangat cantik atau berharga."""
Abiad,,Putih
Adicita,اديچيتا,Ideologi
Adikara,اديکارا,"""1. kekuasaan, berkuasa; 2. sewenang-wenang."""
Adikarya,اديکاريا,karya agung yang dianggap menggambarkan peradaban sesuatu bangsa
Adiwarna,اديورنا,"""amat bagus, amat indah."""
Afsun,افسون,pesona
Afwah,افوه,"""tuah (orang yang keramat)."""
Agus,اݢوس,"""bagus, elok, mulia."""
Akasa,,angkasa
Aksara,اکسارا,huruf
Alamas,الامس,intan
Alpukah,الڤوکه,"""daya usaha, inisiatif, kehandalan."""
Anca,انبياء,"""rintangan, kerugian."""
Ancala,انچالا,gunung
Anggun,,"""1.elok, tampan (pakaian, tingkah laku, gaya)  2. elok, bergaya dan menarik (bkn cara berpakaian, tingkah laku, gaya)"""
Angkara,,perbuatan yg jahat
Angut,,""" terlelap, tidur sebentar"""
Anom,,muda dan kacak
Anumerta,,gelaran (pangkat dsb) yg diberikan sesudah seseorang meninggal dunia.
Anggara,انݢارا,"buas, ganas (binatang)"
Antakesuma,,1. baju drpd cita berbunga-bunga; 2. baju sakti.
Anyar,اڽر,baru
Apakala,,apabila
Ardi,,gunung
Ariningsun,,"adikku, adindaku (perem­puan)."
Arjuna,,lelaki yg dikasihi
Arkian,,sesudah itu
Asmara,,cinta
Asmaradanta,,"putih (berkenaan gading, gigi)"
Asmaraloka,,alam percintaan
Asor,,"rendah, hina"
Astaka,,balai
Astakona,,"1. segi lapan, sudut lapan; 2. segi banyak"
Asrar,,rahsia
Aswad,,hitam
Ataksia,,kegagalan pelarasan otot kawal sehingga menyebabkan pergerakan otot menjadi tidak teratur dan tersentak-sentak
Atawa,,atau
Atma,اتما,"jiwa, nyawa"
Azimat,عزيمة,"bahan yg terdiri drpd tulisan yg ditulis pd kertas, kain, keratan kayu tertentu, atau sisik tenggiling yg dipakai pd bahagian ter­tentu tubuh (spt di pinggang) yg dianggap mem­punyai sakti dan boleh mengelakkan penya­kit, bencana, dsb."
Azmat,,kuat sekali; hebat
